Job_ID,Job_Title,Company,Location,Skill,Job_Type,Experience,Salary_LPA
JOB001,Business Analyst,Infosys,Hyderabad,Java,Part-time,1-3 Years,10
JOB002,Python Developer,Infosys,Delhi,Java,Internship,0-1 Years,16
JOB003,Data Analyst,TCS,Hyderabad,SQL,Full-time,0-1 Years,20
JOB004,Python Developer,HCL Technologies,Pune,SQL,Part-time,3-5 Years,3
JOB005,Web Developer,Wipro,Delhi,Power BI,Part-time,3-5 Years,7
JOB006,Python Developer,Capgemini,Hyderabad,Python,Part-time,0-1 Years,14
JOB007,Web Developer,Capgemini,Mumbai,Excel,Full-time,5+ Years,20
JOB008,Data Analyst,Tech Mahindra,Hyderabad,Machine Learning,Part-time,3-5 Years,9
JOB009,Business Analyst,Infosys,Hyderabad,Java,Full-time,3-5 Years,5
JOB010,Web Developer,Accenture,Noida,Python,Part-time,3-5 Years,17
JOB011,Business Analyst,Capgemini,Bengaluru,Excel,Part-time,1-3 Years,11
JOB012,Business Analyst,Infosys,Mumbai,Java,Full-time,1-3 Years,8
JOB013,Software Engineer,Tech Mahindra,Chennai,Java,Internship,1-3 Years,13
JOB014,Web Developer,TCS,Bengaluru,Tableau,Full-time,3-5 Years,15
JOB015,Data Scientist,Infosys,Bengaluru,Machine Learning,Internship,3-5 Years,9
JOB016,Business Analyst,Cognizant,Pune,Java,Part-time,1-3 Years,11
JOB017,Python Developer,Accenture,Delhi,Machine Learning,Internship,3-5 Years,16
JOB018,Machine Learning Engineer,Tech Mahindra,Chennai,SQL,Full-time,5+ Years,5
JOB019,Web Developer,TCS,Noida,Python,Full-time,1-3 Years,16
JOB020,Machine Learning Engineer,Infosys,Pune,Power BI,Internship,5+ Years,19
JOB021,Data Scientist,HCL Technologies,Noida,Python,Internship,0-1 Years,20
JOB022,Web Developer,Deloitte,Noida,Java,Part-time,0-1 Years,12
JOB023,Software Engineer,Wipro,Pune,Python,Internship,3-5 Years,19
JOB024,Web Developer,Wipro,Mumbai,Python,Internship,3-5 Years,19
JOB025,Machine Learning Engineer,Accenture,Bengaluru,Excel,Full-time,0-1 Years,13
JOB026,Software Engineer,TCS,Hyderabad,Excel,Part-time,1-3 Years,4
JOB027,Python Developer,IBM,Hyderabad,Python,Internship,5+ Years,5
JOB028,Web Developer,HCL Technologies,Noida,SQL,Full-time,5+ Years,20
JOB029,Python Developer,Deloitte,Mumbai,Tableau,Internship,5+ Years,9
JOB030,Machine Learning Engineer,Accenture,Delhi,Excel,Part-time,3-5 Years,17
JOB031,Machine Learning Engineer,Cognizant,Hyderabad,SQL,Full-time,0-1 Years,13
JOB032,Data Analyst,IBM,Mumbai,SQL,Internship,1-3 Years,3
JOB033,Data Analyst,TCS,Bengaluru,Python,Full-time,3-5 Years,5
JOB034,Machine Learning Engineer,Accenture,Chennai,Java,Part-time,1-3 Years,20
JOB035,Python Developer,IBM,Mumbai,Power BI,Full-time,5+ Years,16
JOB036,Python Developer,Infosys,Hyderabad,Java,Part-time,3-5 Years,16
JOB037,Software Engineer,Cognizant,Noida,Java,Full-time,0-1 Years,4
JOB038,Software Engineer,Capgemini,Noida,Tableau,Full-time,1-3 Years,9
JOB039,Python Developer,HCL Technologies,Pune,SQL,Part-time,1-3 Years,11
JOB040,Software Engineer,Accenture,Noida,Python,Part-time,0-1 Years,4
JOB041,Business Analyst,HCL Technologies,Noida,Python,Full-time,1-3 Years,8
JOB042,Software Engineer,Cognizant,Pune,SQL,Part-time,0-1 Years,8
JOB043,Software Engineer,TCS,Pune,Excel,Part-time,3-5 Years,16
JOB044,Business Analyst,HCL Technologies,Delhi,Java,Part-time,1-3 Years,9
JOB045,Data Scientist,Accenture,Hyderabad,Machine Learning,Internship,0-1 Years,13
JOB046,Data Analyst,TCS,Mumbai,Power BI,Internship,1-3 Years,4
JOB047,Machine Learning Engineer,Infosys,Noida,SQL,Full-time,0-1 Years,10
JOB048,Software Engineer,Infosys,Mumbai,SQL,Internship,0-1 Years,5
JOB049,Software Engineer,IBM,Mumbai,Machine Learning,Part-time,3-5 Years,9
JOB050,Business Analyst,Capgemini,Bengaluru,Excel,Part-time,1-3 Years,12
JOB051,Software Engineer,Capgemini,Noida,Python,Full-time,5+ Years,6
JOB052,Data Analyst,HCL Technologies,Bengaluru,Machine Learning,Part-time,1-3 Years,14
JOB053,Data Analyst,Accenture,Chennai,Excel,Full-time,5+ Years,20
JOB054,Business Analyst,Deloitte,Mumbai,Tableau,Internship,0-1 Years,20
JOB055,Data Scientist,Infosys,Bengaluru,Excel,Full-time,0-1 Years,20
JOB056,Python Developer,Deloitte,Chennai,Machine Learning,Full-time,3-5 Years,9
JOB057,Business Analyst,Deloitte,Mumbai,Power BI,Part-time,0-1 Years,5
JOB058,Business Analyst,Tech Mahindra,Noida,Excel,Full-time,0-1 Years,13
JOB059,Web Developer,Wipro,Delhi,Excel,Full-time,5+ Years,20
JOB060,Business Analyst,Tech Mahindra,Mumbai,Python,Full-time,0-1 Years,7
JOB061,Machine Learning Engineer,TCS,Noida,Excel,Internship,1-3 Years,16
JOB062,Python Developer,TCS,Chennai,Excel,Full-time,3-5 Years,9
JOB063,Business Analyst,Accenture,Delhi,Python,Part-time,5+ Years,7
JOB064,Python Developer,Wipro,Noida,Tableau,Full-time,5+ Years,3
JOB065,Python Developer,Capgemini,Noida,Power BI,Internship,1-3 Years,11
